sexo,ubigeo,nom_region,nom_provincia,nom_distrito,ocupinf,ingresos_totales,estudios,edad,anio,mes,estrato,tipo_contrato,tamanio_empresa,p507,p510
hombre,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,empleo informal,800,secundaria completa,46,2020,2, de 20 000 a 49 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,empleo informal,1200,superior universitaria completa,44,2020,2, de 20 000 a 49 999 habitantes,"contrato por locaci¢n de servicios (honorarios profesionales, ruc), snp",m†s de 500 personas,empleado,administraci¢n p£blica
hombre,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,empleo formal,3200,superior universitaria completa,68,2020,1, de 20 000 a 49 999 habitantes,"contrato indefinido, nombrado, permanente",m†s de 500 personas,empleado,empresa p£blica
hombre,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,empleo formal,1400,secundaria incompleta,59,2020,3, de 20 000 a 49 999 habitantes,,m†s de 500 personas,empleado,administraci¢n p£blica
hombre,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,empleo formal,2000,maestria/doctorado,31,2020,1, de 20 000 a 49 999 habitantes,regimen especial de contrataci¢n administrativa (cas),m†s de 500 personas,empleado,administraci¢n p£blica
hombre,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,empleo formal,2000,maestria/doctorado,56,2020,2, de 20 000 a 49 999 habitantes,"contrato indefinido, nombrado, permanente",m†s de 500 personas,empleado,administraci¢n p£blica
hombre,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,empleo informal,563,primaria incompleta,39,2020,3, de 20 000 a 49 999 habitantes,,hasta 20 personas,obrero,empresa o patrono privado
hombre,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,empleo informal,1750,secundaria completa,26,2020,2, de 20 000 a 49 999 habitantes,sin contrato,de 51 a 100 personas,obrero,empresa o patrono privado
hombre,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,empleo informal,1000,superior universitaria completa,27,2020,2, de 20 000 a 49 999 habitantes,"contrato por locaci¢n de servicios (honorarios profesionales, ruc), snp",m†s de 500 personas,empleado,administraci¢n p£blica
hombre,10103,AMAZONAS,CHACHAPOYAS,BALSAS,empleo informal,50,secundaria incompleta,16,2020,1, µrea de empadronamiento rural (aer) compuesto,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
